orderid     totalsalesamount                        salespctoftotal
----------- --------------------------------------- ---------------------------------------
11064       4330.4000000                            23.619900
11065       189.4200000                             1.033100
11066       928.7500000                             5.065800
11067       86.8500000                              0.473700
11068       2027.0800000                            11.056600
11069       360.0000000                             1.963600
11070       1629.9750000                            8.890600
11071       484.5000000                             2.642600
11072       5218.0000000                            28.461300
11073       300.0000000                             1.636300
11074       232.0850000                             1.265800
11075       498.1000000                             2.716800
11076       792.7500000                             4.324000
11077       1255.7205000                            6.849200

(14 row(s) affected)

